               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.069974,             0.01789,            0.018909,             0.59417,             0.22007,             0.14005,            0.038236,            0.065975,            0.015351,            0.015925,           0.0087683,           0.0087683,            0.020068
                  37,            0.069531,            0.018087,            0.016589,             0.61378,             0.22521,             0.18525,            0.055255,            0.065289,            0.015001,            0.015429,           0.0089997,           0.0089997,              0.0179
                  38,             0.06875,            0.018279,             0.01738,             0.48403,              0.2178,             0.17259,            0.055146,            0.065029,            0.016287,            0.017432,           0.0092306,           0.0092306,            0.015731
                  39,            0.068103,            0.018114,            0.018663,             0.50526,             0.25011,             0.16134,            0.043068,            0.064951,            0.015148,            0.015725,           0.0094611,           0.0094611,            0.013561
                  40,            0.069764,            0.018644,            0.016062,             0.71531,             0.19924,             0.19083,            0.063211,             0.06674,            0.015382,            0.016435,            0.009691,            0.009691,            0.011391
                  41,            0.067283,            0.019343,            0.017854,             0.52623,             0.23813,             0.20481,            0.070171,            0.061978,            0.015521,             0.01758,           0.0098515,           0.0098515,           0.0098515
                  42,             0.06642,            0.018236,            0.016011,              0.4968,             0.24078,             0.17435,            0.056178,            0.062677,            0.015846,            0.019723,           0.0098515,           0.0098515,           0.0098515
                  43,            0.066462,            0.018767,            0.015623,              0.5676,             0.22895,             0.22025,            0.070811,            0.062901,            0.015249,            0.015697,           0.0098442,           0.0098442,           0.0098442
                  44,            0.068037,            0.019848,             0.01582,             0.50288,             0.26134,             0.22018,            0.076675,            0.062486,            0.015895,            0.016864,           0.0098368,           0.0098368,           0.0098368
                  45,            0.064367,            0.019606,            0.015139,             0.53908,             0.26355,             0.22366,            0.073758,            0.061723,            0.015586,            0.015284,           0.0098291,           0.0098291,           0.0098291
                  46,            0.064815,            0.017506,            0.016436,             0.58354,             0.27203,             0.25395,            0.090859,            0.060877,             0.01481,            0.014818,           0.0098213,           0.0098213,           0.0098213
                  47,            0.062235,            0.018349,            0.014737,             0.41954,             0.31453,             0.25617,            0.088289,            0.058507,             0.01479,            0.013607,           0.0098133,           0.0098133,           0.0098133
                  48,            0.062269,            0.017184,            0.014795,             0.42633,             0.29977,             0.26287,            0.096759,            0.060216,            0.014847,            0.013724,           0.0098052,           0.0098052,           0.0098052
                  49,            0.062462,            0.017884,            0.015267,             0.46404,             0.32582,             0.26918,             0.09392,            0.059595,            0.014944,            0.013446,           0.0097969,           0.0097969,           0.0097969
                  50,            0.060895,            0.018251,            0.014343,             0.42607,             0.25817,             0.24988,             0.08993,            0.058277,             0.01524,            0.016599,           0.0097884,           0.0097884,           0.0097884
                  51,            0.060792,            0.018207,            0.014015,             0.45431,             0.29237,             0.26217,            0.085545,            0.060793,            0.014687,             0.01301,           0.0097798,           0.0097798,           0.0097798
                  52,             0.06325,            0.017076,            0.014599,             0.58148,             0.27102,             0.24917,            0.083341,            0.058753,            0.015835,            0.016429,           0.0097709,           0.0097709,           0.0097709
                  53,            0.059277,            0.017545,            0.013266,             0.49461,             0.35316,              0.2974,             0.10732,            0.055624,            0.014482,            0.013729,           0.0097619,           0.0097619,           0.0097619
