               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.07055,            0.017549,            0.019005,             0.52889,             0.21641,             0.17153,             0.05204,            0.067755,            0.014945,            0.015927,           0.0087683,           0.0087683,            0.020068
                  37,            0.069904,            0.018124,            0.017275,             0.70548,             0.22433,             0.17182,            0.058209,            0.064176,             0.01511,            0.016378,           0.0089997,           0.0089997,              0.0179
                  38,            0.066343,            0.018421,            0.017197,             0.58241,             0.23138,             0.18318,            0.057694,            0.064382,            0.015063,            0.016694,           0.0092306,           0.0092306,            0.015731
                  39,            0.066846,             0.01818,            0.018794,             0.73747,             0.22015,             0.18958,            0.058079,            0.062847,            0.014906,            0.015746,           0.0094611,           0.0094611,            0.013561
                  40,             0.06802,             0.01831,            0.015494,             0.47022,             0.24033,             0.14517,            0.039782,            0.068456,            0.014891,            0.016514,            0.009691,            0.009691,            0.011391
                  41,            0.066976,            0.018833,            0.016748,             0.55116,             0.23075,             0.21139,            0.073546,            0.062898,            0.015718,            0.016034,           0.0098515,           0.0098515,           0.0098515
                  42,             0.06541,            0.018309,            0.015661,              0.7604,             0.14256,             0.13637,            0.036987,            0.065216,            0.016076,            0.020374,           0.0098515,           0.0098515,           0.0098515
                  43,            0.065458,              0.0188,            0.016932,             0.60953,              0.1861,             0.18733,            0.065234,            0.062811,            0.016037,            0.018789,           0.0098442,           0.0098442,           0.0098442
                  44,            0.065964,            0.020272,            0.016305,             0.53381,             0.18375,              0.1642,            0.049526,            0.065663,            0.016917,            0.019583,           0.0098368,           0.0098368,           0.0098368
                  45,            0.063711,            0.019964,            0.016016,              0.5727,             0.22947,             0.22185,              0.0715,            0.061638,            0.016372,            0.017481,           0.0098291,           0.0098291,           0.0098291
                  46,            0.066993,            0.017904,            0.018019,             0.57738,             0.22044,              0.1807,            0.060177,            0.068615,             0.01569,            0.019993,           0.0098213,           0.0098213,           0.0098213
                  47,            0.066422,            0.019252,            0.017013,              0.3877,             0.25651,             0.21182,            0.070055,            0.060934,            0.015812,            0.016848,           0.0098133,           0.0098133,           0.0098133
                  48,            0.064789,            0.017558,            0.015837,             0.41322,             0.20651,             0.19195,            0.067662,            0.065417,            0.016224,             0.02034,           0.0098052,           0.0098052,           0.0098052
                  49,            0.063439,            0.018632,            0.016369,             0.58196,             0.23898,             0.22635,            0.077281,            0.060766,            0.015614,            0.015035,           0.0097969,           0.0097969,           0.0097969
                  50,            0.062972,            0.018744,            0.014565,             0.55893,             0.27148,             0.24006,            0.077186,            0.061076,            0.015218,            0.015405,           0.0097884,           0.0097884,           0.0097884
                  51,            0.062043,            0.019165,            0.015095,             0.55115,             0.26223,             0.23496,            0.080054,            0.061399,            0.015394,            0.014532,           0.0097798,           0.0097798,           0.0097798
                  52,            0.063733,            0.017942,            0.016375,             0.37575,             0.26567,              0.2008,            0.054192,            0.063921,            0.014876,            0.015257,           0.0097709,           0.0097709,           0.0097709
                  53,            0.061909,             0.01824,            0.014064,             0.56552,             0.27322,             0.24494,            0.073847,            0.061364,             0.01513,            0.016326,           0.0097619,           0.0097619,           0.0097619
                  54,            0.062575,            0.017974,            0.013423,             0.57777,             0.24217,             0.21994,            0.070168,            0.058362,            0.015044,            0.016987,           0.0097528,           0.0097528,           0.0097528
                  55,            0.059846,            0.018175,            0.015282,             0.56704,             0.29676,             0.27365,             0.10154,            0.055696,             0.01506,            0.013161,           0.0097435,           0.0097435,           0.0097435
                  56,            0.059625,            0.017688,            0.013607,             0.57224,             0.30207,             0.26087,             0.09372,            0.058015,            0.015028,            0.015998,            0.009734,            0.009734,            0.009734
                  57,            0.058234,            0.018647,            0.013226,             0.47318,             0.36408,             0.27661,             0.10621,            0.055741,            0.014562,            0.012522,           0.0097243,           0.0097243,           0.0097243
                  58,            0.060403,            0.017839,            0.013026,             0.60707,             0.32094,             0.29084,             0.10866,            0.055345,            0.014803,            0.012812,           0.0097145,           0.0097145,           0.0097145
                  59,            0.059303,            0.017992,            0.014658,             0.62672,             0.32197,             0.31379,             0.11477,            0.053708,            0.014687,            0.012136,           0.0097045,           0.0097045,           0.0097045
                  60,            0.060267,            0.018395,            0.012667,             0.53937,             0.30181,             0.29917,              0.1053,            0.054776,            0.014241,            0.011838,           0.0096943,           0.0096943,           0.0096943
                  61,            0.059644,            0.018217,            0.015364,             0.53381,             0.36103,             0.32252,             0.11288,            0.053798,            0.014094,            0.011437,            0.009684,            0.009684,            0.009684
                  62,            0.057936,            0.017902,            0.013371,             0.34849,             0.35294,             0.31779,             0.11327,            0.054207,            0.014555,            0.012925,           0.0096735,           0.0096735,           0.0096735
                  63,            0.060026,            0.018269,            0.012333,             0.55113,             0.30921,              0.3115,             0.11223,            0.054911,            0.014643,            0.011955,           0.0096628,           0.0096628,           0.0096628
                  64,            0.058408,            0.018347,            0.012681,              0.6585,             0.27837,             0.28518,            0.095968,             0.05537,            0.014923,            0.013134,            0.009652,            0.009652,            0.009652
                  65,            0.056003,            0.019212,            0.012855,             0.65748,             0.30147,             0.31504,             0.11245,            0.053327,            0.014449,            0.011945,            0.009641,            0.009641,            0.009641
                  66,            0.057582,            0.017189,            0.011905,              0.4971,             0.31863,             0.31969,             0.11025,            0.055208,             0.01384,            0.010584,           0.0096299,           0.0096299,           0.0096299
                  67,            0.057216,             0.01704,            0.012166,             0.43288,             0.37052,             0.33657,             0.12704,            0.051569,            0.013977,            0.010429,           0.0096186,           0.0096186,           0.0096186
                  68,            0.054937,            0.017618,            0.011886,             0.57117,             0.34536,              0.3287,             0.12444,            0.052642,              0.0141,            0.010117,           0.0096071,           0.0096071,           0.0096071
                  69,            0.058038,            0.017674,            0.011448,             0.57673,             0.34592,              0.3459,             0.11843,            0.055217,            0.014558,            0.010009,           0.0095955,           0.0095955,           0.0095955
                  70,            0.057326,            0.016919,            0.011567,             0.66519,             0.33979,             0.34652,             0.13929,            0.053289,            0.013968,            0.010557,           0.0095837,           0.0095837,           0.0095837
                  71,             0.05551,            0.016964,            0.012257,             0.52636,             0.39663,             0.39324,              0.1471,            0.051121,            0.013894,           0.0099252,           0.0095717,           0.0095717,           0.0095717
                  72,            0.055975,              0.0177,            0.011211,             0.53667,             0.40039,             0.38763,             0.14614,            0.053573,            0.013802,           0.0098181,           0.0095596,           0.0095596,           0.0095596
